iso2,risk,reason
CU,blocked,Sample policy: comprehensive sanctions screening required
IR,blocked,Sample policy: comprehensive sanctions screening required
KP,blocked,Sample policy: comprehensive sanctions screening required
SY,blocked,Sample policy: comprehensive sanctions screening required
RU,gray,Sample policy: enhanced sanctions and export-control review required
BY,gray,Sample policy: enhanced sanctions and export-control review required
VE,gray,Sample policy: enhanced sanctions review required
MM,gray,Sample policy: enhanced sanctions review required
SD,gray,Sample policy: enhanced sanctions review required
AF,gray,Sample policy: enhanced compliance review required

